,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Expected Delivery,Availability,Returns/Exchange,Other Details
29,Visit the blueberry Store,"Blueberry 38C IN TrussRod Acoustic Guitar Kit with Bag, Belt & Picks (Black)",,4 ratings,"₹ 2,895.00",FREE delivery,In stock.,7 Days Replacement,"Material: Top: Spruce wood, Side & Back: - linden wood, Fingerboard:- Rosewood Wood
Bridge：Rosewood, Neck: Catalpa wood, Machine head: Chrome die cast, Finish: Mat Finish
Truss Rod for better adjustment of Guitar Action , Size 38-inch,Style - Cut-way, innovative design to produce good quality sound
Includes: 38"", Acoustic guitar with Belt, bag, and 2 picks
Note: Product design may slightly vary Due to Photography lighting effect
› See more product details"
30,Brand: Generic,"21 fret 41"" A,Acoustio cloud venus acoustic guitar, cover,1 set string, 2 plectrums, 1strap",-,-,"₹ 3,490.00",FREE delivery: April 24 - 25 Details,In stock.,7 Days Replacement,"indian acoustic guitar
21 rosewood fret board
indian adjustble Rose wood bridge.....
tres rod &with touch pic up
top cloud& back black
› See more product details"
31,Brand: JUAREZ,"JUAREZ Arpeggio 39 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Sunburst",,1 rating,"₹ 5,025.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Juarez Arpeggio 39 Inch Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Sunburst"
32,Brand: RADHARAMAN,Radharaman Guitar 4-String Acoustic Guitar Musical Instrument for Learning (23 Inches)Brown,-,-,₹ 899.00,"FREE delivery: Saturday, April 24 Details",In stock.,7 Days Returnable,"Very Crisp and Clear Sound of Strings
4 String which are tune-able. A very good toy for kids who are willing to learn guitar.
The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
The size of the guitar:
No batteries required, this is an unlimited fun toy for kids.
› See more product details"
33,Brand: DIKUJI ENTERPRISE,DIKUJI ENTERPRISE 6 String Decor Guitar Children's Musical Instrument Educational Toy Guitar for Beginners Kids Childs (Color May Vary),-,-,"₹ 1,299.00","FREE delivery: Sunday, April 25 Details",In stock.,7 Days Replacement,"🎸 Stylish Classic Guitar Produces Vibrant Sounds, Guitar Strings Are Tunable, String Tuning Mechanism Keeps Tuned Strings Tight.
🎸It Is Fully Functional With All The Tuning Keys And Playable. This Children's Sized Acoustic Guitar Toy Is Ideal For Children To Get The Correct Posture And Learn How To Play Different Notes.
🎸This Guitar Has Good Sound Quality It's Very Clear. And The Strings Are Good Quality. Good Wooden Finishing, It Is Made Up Of Good Quality Plastic & Is Good For Playing And Learning.This Guitar Has Good Sound Quality It's Very Clear. And The Strings Are Good Quality. Good Wooden Finishing, It Is Made Up Of Good Quality Plastic & Is Good For Playing And Learning.
🎸This Acoustic Guitar Makes A Great Gift For Kids. Lightweight, Easy To Hold, And Has A Nice Appearance, This Is Not A Professionally Manufactured Guitar, Just A Toy For Children.
🎸This Guitar Is Lightweight And Portable And Comes With Strap So That Your Future Rock Star Can Handle It Easily While Performing.
› See more product details"
34,Brand: VD Enterprise,VD ENTERPRISE String Acoustic Guitar | Adjustable Tunning Knob | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,,13 ratings,₹ 879.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"Toy Guitar is a Great Creativity for little Kids and increase musical talent in your young rock star. Teaches Kids the basics of rhythm, tempo, strumming and create the worlds of Music for your Kids.
It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
This guitar has good sound quality and good wooden finishing it is made up of good quality plastic and is good for playing and learning.
This acoustic guitar makes a great gift for kids and is a great value for the money.
This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes.
› See more product details"
35,Brand: Crizer,Crizer 4 String Guitar Children's Musical Instrument Educational Toy Guitar Ukulele Instruments Beginner Musical Sound Toys Best Gift for Children,,31 ratings,₹ 829.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"PROVIDES SCREEN FREE FUN: A junior scale 4 string guitar perfect for use on lessons, recitals, band rehearsals, on-stage performances or when practicing at home. The mini guitar can attract the interests of kids, and reduce their dependency on the phone, computer, or other electronics.
GREAT FOR BEGINNERS: It has a traditional classic body style great for beginners and children learning to play guitar. Give your best performance whether you're in the music studio or out at a bonfire with friends. Take your music with you.
ENJOY MUSIC ANYTIME: Helps kids have fun and stimulate and develop their talent & interest. This guitar is 24 inches in length.; Please Note: This is an assortment pack, so accessories and design may vary
This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.Recommended for ages above 6 years.This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
A PERFECT GIFT: Helps kids have fun and stimulate and develop their talent & interest. This guitar is 24 inches in length.; Please Note: This is an assortment pack, so accessories and design may vary
› See more product details"
36,Brand: OOM AKSHAR,OOM AKSHAR 4 String Decor Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child - 23Inch,-,-,₹ 999.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar
The size of the gitars for boys: 23 inch
This acoustic guitar makes a great gift for kids lightweight, easy to holdand has a nice appearance this is not a professionally manufactured guitar, just a toy for children recommended for ages above 6 years
gitars for girls has Made from high quality abs materials, non-toxic paints, safer for children
› See more product details"
37,Brand: Luximal,Luximal 4 String Musical Guitar For Kids Instrument Acoustic Learning Educational Small Toy For Child with Ability Random Brown Color Best Gift For Boys & Girls,,4 ratings,₹ 829.00,"FREE delivery: Monday, April 26 Details",In stock.,7 Days Replacement,"4-string Guitar Toy for Kids with Adjustable Tuning Knobs for Intellectual Development and also to develop talent and interest in kids.
This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
Provides screen free fun: A junior scale 4 string guitar perfect for use on lessons, recitals, band rehearsals, on-stage performances or when practicing at home. The mini guitar can attract the interests of kids, and reduce their dependency on the phone, computer, or other electronics.
Great for beginners: It has a traditional classic body style great for beginners and children learning to play guitar. Give your best performance whether you're in the music studio or out at a bonfire with friends. Take your music with you.
This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.
› See more product details"
38,Brand: DOMENICO,DOMENICO Guitar 4-String Acoustic Guitar Musical Instrument For Learning (23 Inches),,15 ratings,₹ 749.00,FREE delivery,In stock.,7 Days Replacement,"Very Crisp and Clear Sound of Strings
This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning.
It is fully Functional With All The tuning keys and playable. This Acoustic Guitar is ideal for beginners to get the correct posture and learn how to play different notes.
have fun and stimulate and develop their talent & interest.This Guitar Is 22 Inches In Length.
Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar.Recommended for ages above 6 years.
› See more product details"
